,LGA,Period,avg_response_time_min,total_num_first_responses
0,Alpine,30/06/2017,32:46,168
1,Ararat,30/06/2017,29:37,164
2,Ballarat,30/06/2017,21:37,"1,060"
3,Banyule,30/06/2017,25:30,"1,013"
4,Bass Coast,30/06/2017,27:59,392
5,Baw Baw,30/06/2017,29:14,471
6,Bayside,30/06/2017,29:08,73
7,Benalla,30/06/2017,23:34,190
8,Boroondara,30/06/2017,24:32,970
9,Brimbank,30/06/2017,23:16,"1,577"
10,Buloke,30/06/2017,42:39,60
11,Campaspe,30/06/2017,29:38,444
12,Cardinia,30/06/2017,24:10,692
13,Casey,30/06/2017,22:44,"2,073"
14,Central Goldfields,30/06/2017,26:46,201
15,Colac-Otway,30/06/2017,25:47,240
16,Corangamite,30/06/2017,27:44,178
17,Darebin,30/06/2017,24:31,"1,386"
18,East Gippsland,30/06/2017,32:22,593
19,Frankston,30/06/2017,21:02,"1,469"
20,Gannawarra,30/06/2017,31:44,126
21,Glen Eira,30/06/2017,27:10,"1,035"
22,Glenelg,30/06/2017,24:56,207
23,Golden Plains,30/06/2017,28:16,104
24,Greater Bendigo,30/06/2017,25:22,"1,053"
25,Greater Dandenong,30/06/2017,23:30,"1,475"
26,Greater Geelong,30/06/2017,23:39,"2,338"
27,Greater Shepparton,30/06/2017,25:04,723
28,Hepburn,30/06/2017,28:37,144
29,Hindmarsh,30/06/2017,30:18,70
30,Hobsons Bay,30/06/2017,23:06,703
31,Horsham,30/06/2017,26:41,276
32,Hume,30/06/2017,23:44,"1,820"
33,Indigo,30/06/2017,30:04,105
34,Kingston,30/06/2017,25:12,"1,211"
35,Knox,30/06/2017,21:32,"1,205"
36,Latrobe,30/06/2017,23:52,985
37,Loddon,30/06/2017,39:04,74
38,Macedon Ranges,30/06/2017,23:57,437
39,Manningham,30/06/2017,26:52,711
40,Mansfield,30/06/2017,34:55,126
41,Maribyrnong,30/06/2017,22:50,670
42,Maroondah,30/06/2017,23:29,1105
43,Melbourne,30/06/2017,23:12,"2,098"
44,Melton,30/06/2017,22:31,995
45,Mildura,30/06/2017,32:19,608
46,Mitchell,30/06/2017,25:59,521
47,Moira,30/06/2017,28:29,350
48,Monash,30/06/2017,25:09,"1,342"
49,Moonee Valley,30/06/2017,54:26,"1,262"
50,Moorabool,30/06/2017,24:56,311
51,Moreland,30/06/2017,25:10,"1,463"
52,Mornington Peninsula,30/06/2017,21:47,"1,662"
53,Mount Alexander,30/06/2017,31:06,177
54,Moyne,30/06/2017,30:41,112
55,Murrindindi,30/06/2017,33:46,183
56,Nillumbik,30/06/2017,28:36,315
57,Northern Grampians,30/06/2017,28:14,146
58,Port Phillip,30/06/2017,24:24,931
59,Pyrenees,30/06/2017,30:50,79
60,Queenscliffe,30/06/2017,28:52,42
61,South Gippsland,30/06/2017,29:48,275
62,Southern Grampians,30/06/2017,28:26,137
63,Stonnington,30/06/2017,26:02,765
64,Strathbogie,30/06/2017,30:06,141
65,Surf Coast,30/06/2017,25:11,203
66,Swan Hill,30/06/2017,29:46,275
67,Towong,30/06/2017,34:19,69
68,Wangaratta,30/06/2017,26:15,322
69,Warrnambool,30/06/2017,21:43,306
70,Wellington,30/06/2017,30:36,409
71,West Wimmera,30/06/2017,37:46,40
72,Whitehorse,30/06/2017,23:18,"1,218"
73,Whittlesea,30/06/2017,24:29,"1,350"
74,Wodonga,30/06/2017,25:23,357
75,Wyndham,30/06/2017,22:26,"1,356"
76,Yarra,30/06/2017,25:01,766
77,Yarra Ranges,30/06/2017,23:42,"1,192"
78,Yarriambiack,30/06/2017,39:06,76
79,Unincorporated,30/06/2017,37:06,26
80,Interstate LGAs,30/06/2017,29:20,128
81,Total AV,30/06/2017,25:33,"52,766"
82,Alpine,30/09/2017,32:51,150
83,Ararat,30/09/2017,27:10,171
84,Ballarat,30/09/2017,23:24,"1,061"
85,Banyule,30/09/2017,28:05,"1,032"
86,Bass Coast,30/09/2017,25:47,423
87,Baw Baw,30/09/2017,27:56,518
88,Bayside,30/09/2017,33:13,774
89,Benalla,30/09/2017,25:38,173
90,Boroondara,30/09/2017,30:51,"1,047"
91,Brimbank,30/09/2017,28:19,"1,689"
92,Buloke,30/09/2017,38:32,69
93,Campaspe,30/09/2017,30:21,393
94,Cardinia,30/09/2017,27:42,723
95,Casey,30/09/2017,27:13,"2,209"
96,Central Goldfields,30/09/2017,32:50,196
97,Colac-Otway,30/09/2017,25:28,212
98,Corangamite,30/09/2017,28:45,149
99,Darebin,30/09/2017,29:21,"1,482"
100,East Gippsland,30/09/2017,33:06,602
101,Frankston,30/09/2017,24:02,1632
102,Gannawarra,30/09/2017,37:33,133
103,Glen Eira,30/09/2017,32:50,"1,085"
104,Glenelg,30/09/2017,26:27,221
105,Golden Plains,30/09/2017,33:23,102
106,Greater Bendigo,30/09/2017,26:34,"1,137"
107,Greater Dandenong,30/09/2017,27:46,"1,594"
108,Greater Geelong,30/09/2017,24:09,"2,360"
109,Greater Shepparton,30/09/2017,23:42,767
110,Hepburn,30/09/2017,33:07,135
111,Hindmarsh,30/09/2017,30:35,82
112,Hobsons Bay,30/09/2017,27:11,734
113,Horsham,30/09/2017,30:33,283
114,Hume,30/09/2017,27:14,"1,863"
115,Indigo,30/09/2017,30:24,112
116,Kingston,30/09/2017,28:39,1312
117,Knox,30/09/2017,24:09,1211
118,Latrobe,30/09/2017,26:24,"1,050"
119,Loddon,30/09/2017,35:15,94
120,Macedon Ranges,30/09/2017,25:13,475
121,Manningham,30/09/2017,29:53,768
122,Mansfield,30/09/2017,33:41,106
123,Maribyrnong,30/09/2017,27:14,684
124,Maroondah,30/09/2017,25:51,"1,082"
125,Melbourne,30/09/2017,27:15,"2,162"
126,Melton,30/09/2017,27:14,"1,111"
127,Mildura,30/09/2017,29:49,675
128,Mitchell,30/09/2017,24:09,500
129,Moira,30/09/2017,27:24,408
130,Monash,30/09/2017,29:03,"1,378"
131,Moonee Valley,30/09/2017,58:04,"1,396"
132,Moorabool,30/09/2017,28:30,369
133,Moreland,30/09/2017,30:06,"1,451"
134,Mornington Peninsula,30/09/2017,24:13,"1,600"
135,Mount Alexander,30/09/2017,28:02,185
136,Moyne,30/09/2017,34:29,120
137,Murrindindi,30/09/2017,33:59,162
138,Nillumbik,30/09/2017,33:15,330
139,Northern Grampians,30/09/2017,26:40,172
140,Port Phillip,30/09/2017,29:47,907
141,Pyrenees,30/09/2017,29:21,70
142,Queenscliffe,30/09/2017,25:07,42
143,South Gippsland,30/09/2017,28:09,251
144,Southern Grampians,30/09/2017,32:20,137
145,Stonnington,30/09/2017,31:54,774
146,Strathbogie,30/09/2017,25:33,134
147,Surf Coast,30/09/2017,24:59,204
148,Swan Hill,30/09/2017,30:11,214
149,Towong,30/09/2017,41:06,71
150,Wangaratta,30/09/2017,26:47,334
151,Warrnambool,30/09/2017,24:07,308
152,Wellington,30/09/2017,29:09,434
153,West Wimmera,30/09/2017,34:53,28
154,Whitehorse,30/09/2017,26:27,"1,235"
155,Whittlesea,30/09/2017,29:22,"1,487"
156,Wodonga,30/09/2017,26:12,370
157,Wyndham,30/09/2017,27:39,"1,417"
158,Yarra,30/09/2017,27:28,759
159,Yarra Ranges,30/09/2017,26:47,"1,202"
160,Yarriambiack,30/09/2017,36:47,66
161,Unincorporated,30/09/2017,19:50,292
162,Interstate LGAs,30/09/2017,30:36,131
163,Total AV,30/09/2017,28:29,"54,981"
164,Alpine,31/12/2017,28:45,169
165,Ararat,31/12/2017,30:28,149
166,Ballarat,31/12/2017,20:55,"1,098"
167,Banyule,31/12/2017,23:01,982
168,Bass Coast,31/12/2017,27:23,496
169,Baw Baw,31/12/2017,26:34,476
170,Bayside,31/12/2017,29:15,689
171,Benalla,31/12/2017,22:32,196
172,Boroondara,31/12/2017,26:14,953
173,Brimbank,31/12/2017,25:31,"1,596"
174,Buloke,31/12/2017,38:45,72
175,Campaspe,31/12/2017,27:44,446
176,Cardinia,31/12/2017,25:54,714
177,Casey,31/12/2017,24:25,"2,128"
178,Central Goldfields,31/12/2017,26:59,194
179,Colac-Otway,31/12/2017,29:17,218
180,Corangamite,31/12/2017,27:12,153
181,Darebin,31/12/2017,25:27,"1,444"
182,East Gippsland,31/12/2017,29:22,625
183,Frankston,31/12/2017,21:26,"1,559"
184,Gannawarra,31/12/2017,33:46,98
185,Glen Eira,31/12/2017,29:28,"1,006"
186,Glenelg,31/12/2017,27:07,208
187,Golden Plains,31/12/2017,27:57,98
188,Greater Bendigo,31/12/2017,25:56,"1,062"
189,Greater Dandenong,31/12/2017,24:02,"1,431"
190,Greater Geelong,31/12/2017,22:38,"2,399"
191,Greater Shepparton,31/12/2017,23:44,787
192,Hepburn,31/12/2017,32:50,167
193,Hindmarsh,31/12/2017,31:32,80
194,Hobsons Bay,31/12/2017,26:35,695
195,Horsham,31/12/2017,26:41,274
196,Hume,31/12/2017,24:16,"1,871"
197,Indigo,31/12/2017,27:10,83
198,Kingston,31/12/2017,26:27,"1,227"
199,Knox,31/12/2017,21:42,"1,225"
200,Latrobe,31/12/2017,23:28,"1,044"
201,Loddon,31/12/2017,33:28,78
202,Macedon Ranges,31/12/2017,24:28,409
203,Manningham,31/12/2017,26:55,778
204,Mansfield,31/12/2017,34:36,117
205,Maribyrnong,31/12/2017,25:26,714
206,Maroondah,31/12/2017,22:27,"1,063"
207,Melbourne,31/12/2017,25:34,"2,319"
208,Melton,31/12/2017,24:19,"1,012"
209,Mildura,31/12/2017,28:35,626
210,Mitchell,31/12/2017,26:31,523
211,Moira,31/12/2017,29:25,396
212,Monash,31/12/2017,26:41,"1,307"
213,Moonee Valley,31/12/2017,60:48,"1,288"
214,Moorabool,31/12/2017,23:36,342
215,Moreland,31/12/2017,27:17,"1,423"
216,Mornington Peninsula,31/12/2017,23:03,"1,724"
217,Mount Alexander,31/12/2017,26:52,192
218,Moyne,31/12/2017,33:34,120
219,Murrindindi,31/12/2017,35:19,172
220,Nillumbik,31/12/2017,26:21,364
221,Northern Grampians,31/12/2017,26:57,166
222,Port Phillip,31/12/2017,27:32,959
223,Pyrenees,31/12/2017,29:43,74
224,Queenscliffe,31/12/2017,27:38,29
225,South Gippsland,31/12/2017,32:08,262
226,Southern Grampians,31/12/2017,23:38,164
227,Stonnington,31/12/2017,28:47,743
228,Strathbogie,31/12/2017,26:06,139
229,Surf Coast,31/12/2017,25:32,228
230,Swan Hill,31/12/2017,32:16,222
231,Towong,31/12/2017,40:02,56
232,Wangaratta,31/12/2017,27:15,347
233,Warrnambool,31/12/2017,22:46,348
234,Wellington,31/12/2017,29:24,405
235,West Wimmera,31/12/2017,32:21,26
236,Whitehorse,31/12/2017,24:49,"1,306"
237,Whittlesea,31/12/2017,25:42,"1,475"
238,Wodonga,31/12/2017,22:13,447
239,Wyndham,31/12/2017,24:39,"1,422"
240,Yarra,31/12/2017,26:05,864
241,Yarra Ranges,31/12/2017,23:26,"1,270"
242,Yarriambiack,31/12/2017,37:14,66
243,Unincorporated,31/12/2017,38:25,9
244,Interstate LGAs,31/12/2017,25:50,117
245,Total AV,31/12/2017,26:19,"54,223"
246,Alpine,31/03/2018,31:55,157
247,Ararat,31/03/2018,26:12,145
248,Ballarat,31/03/2018,20:56,"1,016"
249,Banyule,31/03/2018,23:30,956
250,Bass Coast,31/03/2018,26:43,452
251,Baw Baw,31/03/2018,27:36,492
252,Bayside,31/03/2018,25:47,652
253,Benalla,31/03/2018,24:29,192
254,Boroondara,31/03/2018,24:19,923
255,Brimbank,31/03/2018,22:24,"1,517"
256,Buloke,31/03/2018,40:16,63
257,Campaspe,31/03/2018,33:22,429
258,Cardinia,31/03/2018,22:35,648
259,Casey,31/03/2018,21:27,"2,145"
260,Central Goldfields,31/03/2018,28:59,184
261,Colac-Otway,31/03/2018,23:27,217
262,Corangamite,31/03/2018,28:13,157
263,Darebin,31/03/2018,23:02,"1,324"
264,East Gippsland,31/03/2018,29:00,641
265,Frankston,31/03/2018,19:33,"1,495"
266,Gannawarra,31/03/2018,40:46,98
267,Glen Eira,31/03/2018,26:19,954
268,Glenelg,31/03/2018,24:36,229
269,Golden Plains,31/03/2018,25:12,103
270,Greater Bendigo,31/03/2018,24:13,"1,080"
271,Greater Dandenong,31/03/2018,22:03,"1,420"
272,Greater Geelong,31/03/2018,21:50,"2,258"
273,Greater Shepparton,31/03/2018,25:04,717
274,Hepburn,31/03/2018,34:05,158
275,Hindmarsh,31/03/2018,28:06,92
276,Hobsons Bay,31/03/2018,23:28,703
277,Horsham,31/03/2018,25:58,244
278,Hume,31/03/2018,21:24,"1,739"
279,Indigo,31/03/2018,30:15,112
280,Kingston,31/03/2018,23:19,"1,180"
281,Knox,31/03/2018,19:32,1125
282,Latrobe,31/03/2018,23:36,998
283,Loddon,31/03/2018,30:58,54
284,Macedon Ranges,31/03/2018,23:28,430
285,Manningham,31/03/2018,25:28,723
286,Mansfield,31/03/2018,33:58,112
287,Maribyrnong,31/03/2018,22:57,648
288,Maroondah,31/03/2018,20:06,953
289,Melbourne,31/03/2018,23:16,2253
290,Melton,31/03/2018,21:44,"1,069"
291,Mildura,31/03/2018,29:38,632
292,Mitchell,31/03/2018,23:06,483
293,Moira,31/03/2018,29:11,416
294,Monash,31/03/2018,23:21,"1,289"
295,Moonee Valley,31/03/2018,60:51,1251
296,Moorabool,31/03/2018,21:07,346
297,Moreland,31/03/2018,24:19,"1,393"
298,Mornington Peninsula,31/03/2018,21:30,"1,669"
299,Mount Alexander,31/03/2018,20:51,174
300,Moyne,31/03/2018,30:25,123
301,Murrindindi,31/03/2018,30:10,143
302,Nillumbik,31/03/2018,24:12,353
303,Northern Grampians,31/03/2018,27:23,147
304,Port Phillip,31/03/2018,24:53,"1,004"
305,Pyrenees,31/03/2018,23:18,84
306,Queenscliffe,31/03/2018,24:15,48
307,South Gippsland,31/03/2018,30:35,284
308,Southern Grampians,31/03/2018,27:57,134
309,Stonnington,31/03/2018,25:52,703
310,Strathbogie,31/03/2018,25:49,127
311,Surf Coast,31/03/2018,24:20,270
312,Swan Hill,31/03/2018,32:25,226
313,Towong,31/03/2018,32:30,80
314,Wangaratta,31/03/2018,26:44,297
315,Warrnambool,31/03/2018,23:56,351
316,Wellington,31/03/2018,31:16,418
317,West Wimmera,31/03/2018,24:59,35
318,Whitehorse,31/03/2018,21:34,"1,058"
319,Whittlesea,31/03/2018,22:54,"1,329"
320,Wodonga,31/03/2018,21:34,392
321,Wyndham,31/03/2018,21:10,"1,292"
322,Yarra,31/03/2018,23:06,830
323,Yarra Ranges,31/03/2018,20:43,"1,112"
324,Yarriambiack,31/03/2018,36:23,66
325,Unincorporated,31/03/2018,54:00,16
326,Interstate LGAs,31/03/2018,29:01,162
327,Total AV,31/03/2018,24:32,"51,994"
